Date,r,xs,xb
2/1/1954,-0.091684435,-0.046793761,0.171024576
3/1/1954,0.154929577,-0.038181818,-0.077296987
4/1/1954,-0.330284553,-0.207939509,0.425128362
5/1/1954,-0.077389985,0.011933174,0.170042898
6/1/1954,-0.016447368,-0.136792453,0.07492283
7/1/1954,0.102006689,-0.135245902,-0.011191772
8/1/1954,0.561456753,0.301737757,-0.493086358
9/1/1954,-0.142857143,0.139563107,0.214123007
10/1/1954,-0.195011338,0.113951012,0.265599573
11/1/1954,0.214084507,-0.003824092,-0.127695446
12/1/1954,0.118329466,0.093090211,-0.026523246
1/1/1955,0.142116183,0.135206321,-0.079777035
2/1/1955,-0.023614896,0.279969064,0.100581188
3/1/1955,0.23627907,-0.058610272,-0.20175882
4/1/1955,0.130173062,0.046213094,-0.052912788
5/1/1955,-0.30758988,0.111656442,0.344930982
6/1/1955,0.277884615,0.014900662,-0.178150573
7/1/1955,0.29420617,0.090266449,-0.181083998
8/1/1955,0.168023256,0.067830424,-0.136634172
9/1/1955,0.06072673,-0.066791219,0.022469122
10/1/1955,-0.047395589,0.036036036,0.033863789
11/1/1955,0.074876847,0.242512077,0.031273711
12/1/1955,0.120989918,0.031493002,-0.075161219
1/1/1956,-0.074816026,-0.106294761,0.084734474
2/1/1956,-0.121078215,0.059046816,0.165925327
3/1/1956,0.084464555,0.003185982,0.023345483
4/1/1956,0.209550301,0.167526796,-0.160908482
5/1/1956,-0.066308931,-0.037742265,0.071928077
6/1/1956,-0.083743842,-0.098939929,0.116618789
7/1/1956,-0.079301075,0.065098039,0.172666107
8/1/1956,0.18540146,0.150589102,-0.153831144
9/1/1956,0.112889984,0.01792,-0.10897165
10/1/1956,-0.086315013,-0.031751022,0.112147635
11/1/1956,0.075898264,0.112662338,-0.04800034
12/1/1956,0.14108818,0.004960607,-0.088203565
1/1/1957,-0.003288392,-0.136759582,0.0190076
2/1/1957,-0.045199604,0.088126472,0.04013687
3/1/1957,-0.003800968,0.044513138,0.056480977
4/1/1957,0.052722858,0.029002664,0.009734557
