Date,r,xs,xb
2/1/1954,0.000808333,0.016742667,-0.001616667
3/1/1954,0.000858333,0.036518667,0.007077667
4/1/1954,0.004525333,0.042353667,0.009380667
5/1/1954,-0.003097667,0.031070667,-0.013530333
6/1/1954,0.000533333,0.011026667,0.006310667
7/1/1954,0.0006,0.050068,-0.000315
8/1/1954,0.000766667,-0.023529667,-6.97E-05
9/1/1954,0.004558667,0.063791333,-0.001796667
10/1/1954,0.000816667,-0.017032667,-0.001513667
11/1/1954,0.000775,0.094612,-0.000388
12/1/1954,0.004689333,0.054510667,-0.001864333
1/1/1955,0.001016667,0.005821333,-0.004191667
2/1/1955,0.000975,0.030379,-0.006206
3/1/1955,0.001066667,-0.002061667,0.001376333
4/1/1955,0.001325,0.031027,-0.000882
5/1/1955,0.001208333,0.010824667,-0.001069333
6/1/1955,0.001175,0.064933,-0.004815
7/1/1955,-0.002411667,0.018912667,-0.008393333
8/1/1955,0.001583333,0.002613667,-0.000909333
9/1/1955,-0.002006,-0.003734,0.006473
10/1/1955,0.001858333,-0.027610333,0.005376667
11/1/1955,0.001866667,0.069997333,-0.007215667
12/1/1955,0.005833667,0.014426333,-0.003207667
1/1/1956,0.002008333,-0.030127333,0.008517667
2/1/1956,0.001933333,0.037676667,-0.001621333
3/1/1956,0.001875,0.066581,-0.011914
4/1/1956,-0.001564333,0.002916333,-0.002276667
5/1/1956,-0.001542,-0.051484,0.009021
6/1/1956,-0.005332,0.035176,-0.001783
7/1/1956,-0.005428,0.048905,-0.011411
8/1/1956,0.005816667,-0.031986667,-0.012449667
9/1/1956,-0.001296333,-0.051974667,0.006799333
10/1/1956,-0.001233333,0.004875333,-0.004623667
11/1/1956,0.002491667,0.002186333,-0.005544667
12/1/1956,-0.000961,0.032282,-0.001736
1/1/1957,0.002591667,-0.034712667,0.021147333
2/1/1957,-0.001039667,-0.021286333,-0.003833333
3/1/1957,-0.001043333,0.021545333,-0.000793667
4/1/1957,-0.001038667,0.042620667,-0.012681333
5/1/1957,-0.001034,0.034129,-0.004253
6/1/1957,-0.000829333,-0.007795667,-0.000508667
7/1/1957,-0.004483667,0.006304667,-0.000329333
8/1/1957,0.002808333,-0.052859333,-0.000621333
9/1/1957,0.002941667,-0.060527667,-0.005363667
10/1/1957,0.002983333,-0.044234333,0.002885667
11/1/1957,-0.000775667,0.022846667,0.028021667
12/1/1957,0.002533333,-0.039893333,0.029135667
1/1/1958,-0.005008667,0.047561667,0.001349667
2/1/1958,0.001275,-0.015532,0.012583
3/1/1958,-0.005909667,0.032616667,0.004200667
4/1/1958,-0.002530333,0.029891333,0.004246333
5/1/1958,0.000758333,0.023823667,0.005264667
6/1/1958,0.000691667,0.028801333,-0.007455667
7/1/1958,-0.002701667,0.044085667,-0.009811333
8/1/1958,0.004856333,0.017772667,-0.037025333
9/1/1958,0.002033333,0.046646667,-0.003694333
10/1/1958,0.002191667,0.024992333,-0.001947667
11/1/1958,-0.001235,0.028385,0.009731
12/1/1958,0.005756333,0.050790667,-0.017318333
1/1/1959,-0.00111,0.00677,-0.003692
2/1/1959,0.005698,0.00897,0.00849
3/1/1959,0.002333333,0.002335667,-0.006058333
4/1/1959,-0.001001667,0.035440667,-0.007668333
5/1/1959,0.002366667,0.017228333,-0.002467667
6/1/1959,-0.000773,-0.001999,-0.010351
7/1/1959,-0.000769333,0.031695333,0.000695333
8/1/1959,0.002816667,-0.015262667,-0.002877667
9/1/1959,-5.83E-05,-0.048343667,0.002346333
10/1/1959,-3.80E-05,0.012371,0.017734
11/1/1959,0.003458333,0.015098667,-0.012605333
12/1/1959,0.003741667,0.024301333,-0.010916667
1/1/1960,0.007026,-0.069869,0.011785
2/1/1960,-0.000113,0.011119,0.00388
3/1/1960,0.002758333,-0.015580333,0.026411667
4/1/1960,-0.000709333,-0.017962667,-0.009118667
5/1/1960,0.002741667,0.031356333,0.000402333
6/1/1960,-0.00134,0.020783,0.019626
7/1/1960,0.001916667,-0.024621667,0.025233333
8/1/1960,0.001916667,0.030298333,-0.002720667
9/1/1960,0.002066667,-0.060739667,-0.000277667
10/1/1960,-0.004840333,-0.006621667,-0.001189667
11/1/1960,0.001975,0.046642,-0.007224
12/1/1960,0.001875,0.046662,0.018752
1/1/1961,0.001866667,0.062085333,-0.007809667
2/1/1961,0.002016667,0.034988333,0.007011333
3/1/1961,0.001991667,0.028618333,0.001658333
4/1/1961,0.001908333,0.003736667,0.003453667
5/1/1961,0.001908333,0.023985667,-0.004678333
6/1/1961,0.001941667,-0.030440667,-0.003860667
7/1/1961,-0.004844333,0.028088333,0.000112333
8/1/1961,0.005324667,0.024862333,-3.87E-05
9/1/1961,-0.001444,-0.02189,0.006647
10/1/1961,0.001916667,0.025414333,0.001019333
11/1/1961,0.002066667,0.043384333,-0.003650667
12/1/1961,0.002166667,-0.001453667,-0.002595667
