Date,r,xs,xb
1/1/1954,100,100,100
2/1/1954,100.0808333,101.6742667,99.8383333
3/1/1954,100.166736,105.3872754,100.5449558
4/1/1954,100.6200238,109.850813,101.4881345
5/1/1954,100.3083365,113.263951,100.1149663
6/1/1954,100.3618342,114.5128749,100.7467585
7/1/1954,100.4220513,120.2463055,100.7150233
8/1/1954,100.4990416,117.4169499,100.7080034
9/1/1954,100.9571833,124.9071337,100.5270647
10/1/1954,101.0396317,122.7796321,100.3749002
11/1/1954,101.1179374,134.3960586,100.3359547
12/1/1954,101.5921131,141.7220774,100.1488951
1/1/1955,101.6953984,142.5470888,99.72910426
2/1/1955,101.7945514,146.8775269,99.11018544
3/1/1955,101.9031323,146.5747143,99.24659406
4/1/1955,102.038154,151.122488,99.15905856
5/1/1955,102.16145,152.7583386,99.05302451
6/1/1955,102.2814897,162.6773958,98.57608419
7/1/1955,102.0348208,165.7540592,97.74870229
8/1/1955,102.1963759,166.1872851,97.65981617
9/1/1955,101.99137,165.5667418,98.29196816
10/1/1955,102.1809039,160.9953889,98.82045135
11/1/1955,102.3716417,172.2646368,98.10739588
12/1/1955,102.9688437,174.7497838,97.79270002
1/1/1956,103.1756395,169.4850388,98.62566567
2/1/1956,103.3751123,175.8706702,98.46576063
3/1/1956,103.5689407,187.5803153,97.29263955
4/1/1956,103.4069244,188.127362,97.07113661
5/1/1956,103.2474709,178.4418129,97.94681534
6/1/1956,102.6969554,184.7186821,97.77217616
7/1/1956,102.1395163,193.7523492,96.65649786
8/1/1956,102.7336278,187.5548573,95.45315665
9/1/1956,102.6004509,177.8067561,96.10217445
10/1/1956,102.4739103,178.6736232,95.65783
11/1/1956,102.7292412,179.0642633,95.12743918
12/1/1956,102.6305184,184.8448158,94.96229795
1/1/1957,102.8965025,178.4283593,96.97049729
2/1/1957,102.7895244,174.6302738,96.59877708
3/1/1957,102.6822807,178.3927412,96.52210982
4/1/1957,102.575628,185.9959588,95.2980808
5/1/1957,102.4695648,192.3438149,94.89277806
6/1/1957,102.3845834,190.8443666,94.84450924
7/1/1957,101.9255251,192.0475768,94.81327381
8/1/1957,102.2117659,181.8960699,94.7543632
9/1/1957,102.5124388,170.8863252,94.24613234
10/1/1957,102.8182676,163.3272826,94.5180953
11/1/1957,102.7385149,167.0587666,97.16664989
12/1/1957,102.9987857,160.3942356,99.99766504
1/1/1958,102.4828991,168.0228528,100.1326286
2/1/1958,102.6135648,165.4131219,101.3925975
3/1/1958,102.0071528,170.8083466,101.818514
4/1/1958,101.7490407,175.9140358,102.2508693
5/1/1958,101.8262004,180.1049532,102.7891861
6/1/1958,101.8966302,185.2922159,102.0228241
7/1/1958,101.6213394,193.4609468,101.0218442
8/1/1958,102.1148465,196.8992638,97.28147682
9/1/1958,102.32248,206.0839582,96.92208665
10/1/1958,102.5467368,211.2344771,96.7333147
11/1/1958,102.4200916,217.2303678,97.67462659
12/1/1958,103.0096557,228.263643,95.98306488
1/1/1959,102.895315,229.8089879,95.6286954
2/1/1959,103.4816125,231.8703745,96.44058303
3/1/1959,103.7230696,232.4119465,95.85631386
4/1/1959,103.6191736,240.6487809,95.12125573
5/1/1959,103.8644057,244.7947582,94.88652814
6/1/1959,103.7841185,244.3054135,93.90435769
7/1/1959,103.704274,252.0487549,93.96965249
8/1/1959,103.9963744,248.2018187,93.69923912
9/1/1959,103.9903114,236.2028327,93.91908874
10/1/1959,103.9863597,239.1248979,95.58464986
11/1/1959,104.3459792,242.7353651,94.37977352
12/1/1959,104.7364071,248.634158,93.34946096
1/1/1960,105.4722851,231.2623381,94.44958435
2/1/1960,105.4603667,233.833744,94.81604874
3/1/1960,105.7512615,230.1905364,97.32029865
4/1/1960,105.6762487,226.0557004,96.43286725
5/1/1960,105.9659778,233.1439783,96.47166538
6/1/1960,105.8239834,237.9894096,98.36501828
7/1/1960,106.0268127,232.1297136,100.8470955
8/1/1960,106.2300308,239.1628569,100.5727242
9/1/1960,106.4495729,224.6361846,100.5447985
10/1/1960,105.9343215,223.1487186,100.4251836
11/1/1960,106.1435418,233.5568212,99.6997121
12/1/1960,106.3425609,244.4550496,101.5692811
1/1/1961,106.5410671,259.6321227,100.7760588
2/1/1961,106.7559249,268.7162179,101.4826333
3/1/1961,106.9685472,276.4064281,101.6509253
4/1/1961,107.1726788,277.4392669,102.0019938
5/1/1961,107.3772,284.0938327,101.5247945
6/1/1961,107.5856907,275.445827,101.1328411
7/1/1961,107.0645098,283.1826411,101.1442016
8/1/1961,107.6345927,290.2232222,101.1402873
9/1/1961,107.4791683,283.8702359,101.8125668
10/1/1961,107.6851701,291.0846086,101.9163477
11/1/1961,107.9077195,303.7131202,101.5442851
12/1/1961,108.1415196,303.2716224,101.2807099
1/1/1962,108.3866404,291.6218473,100.6227229
2/1/1962,108.2719673,296.6485331,101.8892611
3/1/1962,108.5173838,294.5854413,102.5989537
4/1/1962,108.4037661,275.228232,102.6170112
5/1/1962,108.6467713,251.3214489,102.8881595
6/1/1962,108.8939427,229.9867711,102.3695003
7/1/1962,108.7983701,244.4770111,102.0590819
8/1/1962,109.0540462,249.6266748,103.0588526
9/1/1962,108.9468098,236.5285967,103.0697081
10/1/1962,109.1955716,236.5051094,103.2927166
11/1/1962,109.4530911,261.9953148,103.7011016
12/1/1962,109.7148665,264.4772837,103.9991731
1/1/1963,109.980925,277.5485445,103.4481855
2/1/1963,110.2485453,270.7862593,103.3740822
3/1/1963,110.151453,279.0475871,103.4082646
4/1/1963,110.4176524,291.6109605,103.5048823
5/1/1963,110.6872555,296.7460351,103.3634256
6/1/1963,110.6001078,290.6563117,103.2481065
7/1/1963,110.5317569,289.386725,102.9725373
8/1/1963,110.8375615,303.8321385,102.8741298
9/1/1963,111.149754,299.3613497,102.8140856
10/1/1963,111.1072948,306.7953901,102.6323103
11/1/1963,111.4332095,304.1930495,102.8083931
12/1/1963,111.3982566,309.9126901,102.5027095
1/1/1964,111.7250247,316.9962612,102.5743248
2/1/1964,112.0536826,321.5183185,102.3919818
3/1/1964,112.3842409,326.2401365,102.2262092
4/1/1964,112.7092187,326.8000732,102.2995394
5/1/1964,113.0360755,331.5396547,102.7943623
6/1/1964,112.9980953,335.5778077,102.8966427
7/1/1964,112.9593746,341.3613794,102.8818942
8/1/1964,113.6520039,336.5199647,102.8610434
9/1/1964,113.6196889,345.7871635,102.9899626
10/1/1964,113.9577074,347.8252331,103.0177699
11/1/1964,113.9370051,347.8446069,102.7944961
