Date,r,xs,xb,snom,spe,sspr
2/1/1954,0.000808333,0.016742667,-0.001616667,0.0097,2.465984713,0.0107
3/1/1954,0.000858333,0.036518667,0.007077667,0.0103,2.465984713,0.009
4/1/1954,0.004525333,0.042353667,0.009380667,0.0097,2.465984713,0.009
5/1/1954,-0.003097667,0.031070667,-0.013530333,0.0076,2.465984713,0.0116
6/1/1954,0.000533333,0.011026667,0.006310667,0.0064,2.465984713,0.0128
7/1/1954,0.0006,0.050068,-0.000315,0.0072,2.465984713,0.0113
8/1/1954,0.000766667,-0.023529667,-6.96667E-05,0.0092,2.465984713,0.0098
9/1/1954,0.004558667,0.063791333,-0.001796667,0.0101,2.465984713,0.0095
10/1/1954,0.000816667,-0.017032667,-0.001513667,0.0098,2.465984713,0.0104
11/1/1954,0.000775,0.094612,-0.000388,0.0093,2.465984713,0.0116
12/1/1954,0.004689333,0.054510667,-0.001864333,0.0115,2.465984713,0.0101
1/1/1955,0.001016667,0.005821333,-0.004191667,0.0122,2.746584112,0.011
2/1/1955,0.000975,0.030379,-0.006206,0.0117,2.746584112,0.0121
3/1/1955,0.001066667,-0.002061667,0.001376333,0.0128,2.746584112,0.012
4/1/1955,0.001325,0.031027,-0.000882,0.0159,2.746584112,0.0096
5/1/1955,0.001208333,0.010824667,-0.001069333,0.0145,2.746584112,0.0111
6/1/1955,0.001175,0.064933,-0.004815,0.0141,2.746584112,0.0118
7/1/1955,-0.002411667,0.018912667,-0.008393333,0.016,2.746584112,0.0112
8/1/1955,0.001583333,0.002613667,-0.000909333,0.019,2.746584112,0.0096
9/1/1955,-0.002006,-0.003734,0.006473,0.0207,2.746584112,0.0078
10/1/1955,0.001858333,-0.027610333,0.005376667,0.0223,2.746584112,0.0053
11/1/1955,0.001866667,0.069997333,-0.007215667,0.0224,2.746584112,0.0057
12/1/1955,0.005833667,0.014426333,-0.003207667,0.0254,2.746584112,0.0039
1/1/1956,0.002008333,-0.030127333,0.008517667,0.0241,2.866191525,0.0043
2/1/1956,0.001933333,0.037676667,-0.001621333,0.0232,2.866191525,0.0042
3/1/1956,0.001875,0.066581,-0.011914,0.0225,2.866191525,0.0068
4/1/1956,-0.001564333,0.002916333,-0.002276667,0.026,2.866191525,0.006
5/1/1956,-0.001542,-0.051484,0.009021,0.0261,2.866191525,0.0047
6/1/1956,-0.005332,0.035176,-0.001783,0.0249,2.866191525,0.0048
7/1/1956,-0.005428,0.048905,-0.011411,0.0231,2.866191525,0.0081
8/1/1956,0.005816667,-0.031986667,-0.012449667,0.026,2.866191525,0.0081
9/1/1956,-0.001296333,-0.051974667,0.006799333,0.0284,2.866191525,0.0063
10/1/1956,-0.001233333,0.004875333,-0.004623667,0.029,2.866191525,0.005
11/1/1956,0.002491667,0.002186333,-0.005544667,0.0299,2.866191525,0.0057
12/1/1956,-0.000961,0.032282,-0.001736,0.0321,2.866191525,0.0049
1/1/1957,0.002591667,-0.034712667,0.021147333,0.0311,2.789147984,0.0036
2/1/1957,-0.001039667,-0.021286333,-0.003833333,0.031,2.789147984,0.0029
3/1/1957,-0.001043333,0.021545333,-0.000793667,0.0308,2.789147984,0.0038
4/1/1957,-0.001038667,0.042620667,-0.012681333,0.0307,2.789147984,0.0046
5/1/1957,-0.001034,0.034129,-0.004253,0.0306,2.789147984,0.0058
6/1/1957,-0.000829333,-0.007795667,-0.000508667,0.0329,2.789147984,0.0054
7/1/1957,-0.004483667,0.006304667,-0.000329333,0.0316,2.789147984,0.0084
8/1/1957,0.002808333,-0.052859333,-0.000621333,0.0337,2.789147984,0.0063
9/1/1957,0.002941667,-0.060527667,-0.005363667,0.0353,2.789147984,0.005
10/1/1957,0.002983333,-0.044234333,0.002885667,0.0358,2.789147984,0.005
