Date,r,xs,xb,snom,spe,sspr,Bearish,Bullish
7/1/1987,0.002098667,0.039506333,-0.003592667,0.0569,2.719862248,0.0232,0.26,0.26
8/1/1987,-0.000238667,0.032112667,-0.011087333,0.0604,2.719862248,0.0228,0.52,0.3
9/1/1987,8.83E-05,-0.026107333,-0.024456333,0.064,2.719862248,0.0254,0.53,0.3
10/1/1987,0.002499333,-0.230471333,0.030572667,0.0613,2.719862248,0.0295,0.44,0.33
11/1/1987,0.003874667,-0.077014667,0.000928333,0.0569,2.719862248,0.0266,0.27,0.27
12/1/1987,0.004808333,0.065518667,0.008593667,0.0577,2.719862248,0.0268,0.25,0.26
1/1/1988,0.002241667,0.040038333,0.025168333,0.0581,2.640468334,0.0237,0.26,0.29
2/1/1988,0.002123667,0.046978333,0.006588333,0.0566,2.640468334,0.0205,0.3,0.19
3/1/1988,0.00044,-0.021348,-0.013997,0.057,2.640468334,0.0213,0.45,0.17
4/1/1988,-0.000225,0.006066,-0.009062,0.0591,2.640468334,0.0228,0.22,0.3
5/1/1988,0.001800667,-0.004768667,-0.012399667,0.0626,2.640468334,0.0232,0.28,0.2
6/1/1988,0.001128333,0.046076667,0.015378667,0.0646,2.640468334,0.0203,0.33,0.23
7/1/1988,0.001371333,-0.012880333,-0.011512333,0.0673,2.640468334,0.0193,0.23,0.23
8/1/1988,0.001664333,-0.033889333,-0.006342333,0.0706,2.640468334,0.0188,0.28,0.32
9/1/1988,-0.000689667,0.031168667,0.014896667,0.0724,2.640468334,0.0145,0.26,0.3
10/1/1988,0.002786,0.011521,0.011186,0.0735,2.640468334,0.0116,0.4,0.22
11/1/1988,0.005634667,-0.022878667,-0.019120667,0.0776,2.640468334,0.0103,0.17,0.39
12/1/1988,0.005062,0.01435,-0.00994,0.0807,2.640468334,0.0102,0.24,0.22
1/1/1989,0.001912667,0.059211333,0.004079333,0.0827,2.715353487,0.0088,0.32,0.19
2/1/1989,0.002979333,-0.023554333,-0.015217333,0.0853,2.715353487,0.0074,0.29,0.26
3/1/1989,0.001593,0.014115,-0.002942,0.0882,2.715353487,0.0069,0.18,0.4
4/1/1989,0.000667333,0.040995667,0.017017667,0.0865,2.715353487,0.0065,0.31,0.29
5/1/1989,0.001339,0.032313,0.013247,0.0843,2.715353487,0.0048,0.48,0.21
6/1/1989,0.004368667,-0.011657667,0.026430333,0.0815,2.715353487,0.0014,0.4,0.26
7/1/1989,0.004149667,0.070564333,0.018453333,0.0788,2.715353487,-0.0005,0.41,0.34
8/1/1989,0.004975333,0.015543667,-0.024828333,0.079,2.715353487,0.0019,0.45,0.31
9/1/1989,0.003248333,-0.007932333,-0.003549333,0.0775,2.715353487,0.0042,0.33,0.29
